YEAR,ENTITY,DEBT_NAME,ORIGINAL_AMOUNT,OUTSTANDING_FYE,PROJECT,DEBT_TYPE,HAS_DEBT,SOURCE_SHEET
2021,Industrial Development Board of Knox County,"Tax Increment Revenue Note, Series 2019B, 11/12/2019",500000.0,500000.0,Grassy Creek,Direct,True,2021
2021,Industrial Development Board of Knox County,"Tax Increment Revenue Note, Series 2020, 12/22/2020",2507841.21,1878642.15,Northshore Town Center,Direct,True,2021
2021,Industrial Development Board of Knox County,"The Change Center, Series 2017, 7/31/2017",2300000.0,964778.36,The Change Center,Conduit,True,2021
2021,Industrial Development Board of Knox County,"Young Men's Christian Assoc. of ETN, Series 2019, 8/16/2019",5500000.0,3652611.98,YMCA of East TN,Conduit,True,2021
2021,"Industrial Development Board of Lake County, Tennessee",,,,,No Debt,False,2021
2021,"Industrial Development Board of Lauderdale County, Tennessee",,,,,No Debt,False,2021
2021,Industrial Development Board of Loudon County,,,,,No Debt,False,2021
2021,Industrial Development Board of Marion County,,,,,No Debt,False,2021
2021,Industrial Development Board of McMinn County,Armstrong Promissory Note - 2017,1695900.0,1222216.0,Land acquisition for expansion of North Etowah Industrial Park,Direct,True,2021
2021,Industrial Development Board of McMinn County,Revenue Bond - 2012,5000000.0,1375000.0,Creative Foam Corporation Project Limited Obligation Revenue Bond,Conduit,True,2021
2021,Industrial Development Board of McMinn County,Revenue Refunding Bond - 2012,9383150.0,7334864.0,Tennessee Wesleyan College Educational Facilities Revenue Refunding Bonds,Conduit,True,2021
2021,Industrial Development Board of McMinn County,Tax Increment Financing Note - 2016,800000.0,800000.0,Madison Park Redevelopment,Non-Debt,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,740000.0,95920.0,Building Sansin,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,300000.0,87500.0,Building - DN Plastics,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,2000000.0,596650.0,Building - DN Plastics,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,205000.0,51561.0,Building Magness Dr,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,300000.0,41667.0,Building Sansin,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Housing Urban Bond,3205000.0,2865000.0,Beersheba Tower Housing,Conduit,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Tennessee Valley Authority,1870000.0,1198231.0,Building - Sansin,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Tennessee Valley Authority,1000000.0,325231.0,Building - MPC,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Tennessee Valley Authority,1200000.0,705411.0,Building -DN Plastics,Direct,True,2021
2021,Industrial Development Board of Meigs County and the City of Decatur,,,,,No Debt,False,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Adjustable Rate Industrial Development Revenue Bonds Series 1999,5000000.0,600000.0,"Steel Coils, Inc. Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Adjustable Rate Revenue Refunding Bonds Series 2005,4850000.0,285296.0,Nashville Public Radio Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Country Music Foundation 2010,23200000.0,14693337.0,Country Music Hall of Fame,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Bond Series 2010,6716460.0,4253758.0,Saint Paul Christian Academy,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Bonds Series 2003B,7500000.0,750000.0,David Lipscomb University Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Bonds Series 2004,2900000.0,435000.0,St. Bernard Academy Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Bonds Series 2007,1400000.0,420000.0,Watkins Institute Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Refunding Bonds Series 2003,6500000.0,650000.0,Trevecca Nazarene University Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Refunding and Improvement Bonds Series 2002,8000000.0,400000.0,University School of Nashville Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,HCA Series 2012,100000000.0,70000003.0,HCA Personal Property,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,HCA Series 2012,100000000.0,70000003.0,HCA Real Property,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Industrial Development Bond 2012,260000000.0,164666663.0,HCA West End Summit Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Industrial Development Revenue Bonds Series 2001,4000000.0,800000.0,"L & S, LLC Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Life Point Series 2012,50000000.0,34999997.0,Life Point Project- Real Property,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Life Point Series 2012,30000000.0,21000000.0,Life Point Project-Personal Property,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1982,3303353.0,82576.0,FHA Insured Mortgage Loan - Margaret Robertson Garden Apartments Section 8 Assisted Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1983,6838879.0,341943.0,FHA Insured Mortgage Loan Graybrook Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1983,9060000.0,453000.0,FHA Insured Mortgage Loan - Beechwood Terrace Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1984,9995000.0,749625.0,FHA Insured Mortgage Loan - Belle Valley Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1985,8500000.0,850000.0,"FHA Insures Mortgage Loan - Picadilly Apartments, II Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1985,6375194.0,637514.0,FHA Insured Mortgage Loan - Brookridge Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1985,3761899.0,376206.0,FHA Insured Mortgage Loan - Pebble Creek Apts. Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1985,7151214.0,715133.0,FHA Insured Mortgage Loan - Western Hills Apartment Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multi-Family Housing Revenue Bonds Series 1997,3425000.0,684992.0,"Nashville-Maplecrest, Inc. Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multi-Family Housing Revenue Refunding Bonds Series 1998,6620000.0,1544659.0,St. Paul Retirement Center,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multi-family Housing Revenue Bonds Series 1998,2270000.0,302658.0,"Nashville-Thompson Place, Inc. Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Bonds 1983,10129163.0,964665.0,"FHA Insured Mortgage Loan - The Hermitage ""A"" Apartments Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Bonds Series 1985,13250000.0,1325000.0,Arbor Crest Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Bonds Series 1985,13400000.0,1340000.0,Arbor Knoll Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Bonds Series 2008,9105000.0,6145875.0,Hickory Hollow Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Refunding Bonds 1993 Series A,15500000.0,1033324.0,Arbors Projects,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Refunding Bonds Series 1994,23750000.0,2374991.0,Ridgelake Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Refunding Bonds Series 1994,21000000.0,2100000.0,Stewarts Ferry Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Refunding Bonds Series 1996A,2915000.0,485825.0,"River Retreat II, Ltd. Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Refunding Bonds Series 1996A,2205000.0,367500.0,Glastonbury Woods Ltd. Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Refunding Bonds Series 2000A,3300000.0,1064508.0,GNMA Collateralized - Valley Forge Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Refunding Bonds Series 2002,14205000.0,5208500.0,Spinnaker Cove Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Refunding Bonds Series 2004,6645000.0,2879500.0,The Park at Hermitage Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Housing Revenue Refunding Bonds Series 2006,8075000.0,4037495.0,Summit Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Multifamily Mortgage Revenue Refunding Bonds Series 2001A,8195000.0,2731660.0,GNMA Collateralized - Beechwood Terrace Apartments Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Bond 2010,3500000.0,2216663.0,"Derby Fabricating, LLC",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Bond Series 2010,2900000.0,1933330.0,"Goodwill Industries of Middle Tennesse, Inc. Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Bonds Series 1999,27000000.0,1173914.0,Country Music Hall of Fame and Museum Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Bonds Series 2002,6500000.0,325000.0,Second Harvest Food Bank Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Bonds Series 2008,4000000.0,1920000.0,Oasis Center Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Bonds Series 2008,3000000.0,1440000.0,STARS Nashville Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,"Revenue Bonds, Series A 1984",6075000.0,911250.0,"Dixie Electrotype Company, Inc. Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Refunding Bond 2012,3400000.0,2380003.0,Nashville Public Radio,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Refunding Bond 2012,57000000.0,39900000.0,YMCA Projects,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Refunding Bond 2014 Series A,5000000.0,231475.0,Montgomery Bell Academy,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Revenue Refunding Bond 2014 Series B,10000000.0,462965.0,Montgomery Bell Academy,Conduit,True,2021
